,match_date,home_team,away_team,home_team_avg_home_goals,home_team_avg_total_goals,away_team_avg_away_goals,away_team_avg_total_goals,home_team_form_score,away_team_form_score,odds_home_team,odds_away_team,odds_draw
0,2024-12-20,Girona,Valladolid,1.9,1.4,0.8,0.7,-0.5,-2.0,1.38,11.5,5.3
1,2024-12-18,Villarreal,Rayo Vallecano,2.1,1.8,0.8,1.1,-1.0,-0.5,1.76,5.6,3.9
2,2024-12-18,Espanyol,Valencia,1.4,0.9,0.4,0.9,-1.5,-3.0,2.68,3.5,2.94
3,2024-12-15,Villarreal,Betis,2.3,1.8,0.8,1.1,0.0,-1.5,1.95,4.3,3.95
4,2024-12-15,Real Sociedad,Las Palmas,1.1,1.0,1.4,1.4,1.5,1.5,1.36,12.5,5.5
5,2024-12-15,Barcelona,Leganes,3.2,2.9,1.0,0.9,0.0,-1.5,1.13,32.0,12.0
6,2024-12-15,Atletico Madrid,Getafe,2.3,1.9,0.4,0.7,3.5,0.0,1.35,13.0,5.4
7,2024-12-15,Alaves,Athletic Bilbao,1.1,1.1,1.4,1.5,-1.5,3.5,4.2,2.24,3.15
8,2024-12-14,Sevilla,Celta Vigo,0.9,1.1,1.4,1.6,-0.5,0.0,2.62,3.1,3.4
9,2024-12-14,Rayo Vallecano,Real Madrid,1.3,1.0,1.8,2.1,-1.5,1.5,7.4,1.55,4.6
10,2024-12-14,Mallorca,Girona,0.8,0.9,0.9,1.4,-1.5,0.5,2.86,3.1,3.05
11,2024-12-14,Espanyol,Osasuna,1.6,1.0,0.7,1.4,-2.5,0.5,2.88,2.92,3.3
12,2024-12-13,Valladolid,Valencia,0.6,0.7,0.4,0.9,-4.0,-1.5,3.4,2.48,3.3
13,2024-12-09,Getafe,Espanyol,0.9,0.7,0.6,1.1,-1.5,-1.5,1.86,6.6,3.25
14,2024-12-08,Osasuna,Alaves,1.9,1.3,1.0,1.1,-0.5,-2.5,2.3,4.0,3.2
15,2024-12-08,Leganes,Real Sociedad,0.9,0.9,0.6,0.9,-0.5,1.5,6.4,1.86,3.2
16,2024-12-08,Atletico Madrid,Sevilla,2.0,1.7,1.0,0.9,3.5,-0.5,1.39,11.0,5.3
17,2024-12-08,Athletic Bilbao,Villarreal,1.6,1.5,1.6,1.9,3.0,1.0,1.87,5.1,3.65
18,2024-12-07,Valencia,Rayo Vallecano,1.7,1.0,0.7,1.0,-1.0,-2.5,2.28,4.1,3.15
19,2024-12-07,Las Palmas,Valladolid,1.3,1.3,0.7,0.7,1.5,-2.5,1.68,6.4,4.0
20,2024-12-07,Girona,Real Madrid,2.1,1.5,1.6,2.1,1.5,1.5,5.0,1.76,4.4
21,2024-12-07,Betis,Barcelona,1.4,1.1,2.9,3.0,-1.0,0.5,6.4,1.56,5.0
22,2024-12-06,Celta Vigo,Mallorca,1.6,1.5,1.3,1.0,-1.5,0.0,1.96,5.1,3.45
23,2024-12-04,Athletic Bilbao,Real Madrid,1.5,1.5,1.7,2.1,2.5,3.5,3.45,2.34,3.5
24,2024-12-03,Mallorca,Barcelona,0.8,1.0,2.7,2.9,1.0,-0.5,6.0,1.64,4.6
25,2024-12-01,Villarreal,Girona,2.3,1.9,0.7,1.4,2.0,2.5,1000.0,700.0,1.01
26,2024-12-01,Valladolid,Atletico Madrid,0.6,0.7,1.5,1.7,-2.5,3.5,1000.0,1.01,1000.0
27,2024-12-01,Sevilla,Osasuna,0.9,0.9,0.7,1.4,-0.5,0.0,2.2,3.95,3.5
28,2024-12-01,Real Sociedad,Betis,1.0,0.8,0.9,1.1,1.0,-0.5,1.82,5.3,3.85
29,2024-12-01,Real Madrid,Getafe,2.6,2.2,0.5,0.7,2.0,-1.0,1.01,1000.0,100.0
30,2024-12-01,Rayo Vallecano,Athletic Bilbao,1.3,1.0,1.3,1.4,-1.0,1.0,3.55,2.56,3.1
31,2024-12-01,Mallorca,Valencia,0.8,1.0,0.4,1.0,1.0,-1.0,1.01,1000.0,50.0
32,2024-12-01,Espanyol,Celta Vigo,1.6,1.1,1.4,1.5,-1.5,-1.5,1.01,1000.0,1000.0
33,2024-12-01,Barcelona,Las Palmas,3.2,2.9,1.4,1.3,-0.5,1.5,1000.0,1.04,24.0
34,2024-12-01,Alaves,Leganes,1.1,1.1,1.0,0.9,-2.5,-0.5,110.0,370.0,1.01
35,2024-11-24,Sevilla,Rayo Vallecano,0.8,0.9,0.8,1.1,-1.0,-0.5,2.12,4.4,3.4
36,2024-11-24,Osasuna,Villarreal,1.9,1.3,1.5,1.9,1.0,2.5,2.78,2.88,3.45
